test-case,cfg,data,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
ApoA1,c5.large-2x,19-06-2020-13-57-44,198.82,198.234031,0.131363,0.350415,500,0.610859,0.296404,0.3282,0.349778
ApoA1,c5.large-2x,19-06-2020-13-10-12,197.96,197.373687,0.132470,0.348556,500,0.620499,0.300102,0.322905,0.34378
ApoA1,c5.large-2x,19-06-2020-16-32-49,198.47,197.832879,0.131885,0.349547,500,0.611347,0.296522,0.322216,0.344497
ApoA1,c5.large-4x,19-06-2020-17-48-44,107.72,107.120957,0.271266,0.168512,500,0.282474,0.142932,0.155795,0.166103
ApoA1,c5.large-4x,19-06-2020-11-33-05,111.99,111.378377,0.255188,0.177451,500,0.289987,0.150716,0.163877,0.174792
ApoA1,c5.large-4x,19-06-2020-11-06-20,112.22,111.603186,0.258611,0.177325,500,0.289692,0.151195,0.164279,0.17505
ApoA1,c5.large-8x,21-06-2020-10-37-19,76.34,75.675652,0.652261,0.091592,500,0.134642,0.077203,0.083925,0.089223
ApoA1,c5.large-8x,18-06-2020-19-03-11,75.06,74.406210,0.673423,0.088914,500,0.133411,0.073862,0.080561,0.085722
ApoA1,c5.large-8x,18-06-2020-18-46-08,74.95,74.301169,0.671524,0.088889,500,0.133611,0.074258,0.080755,0.085822
ApoA1,c5.large-16x,21-06-2020-11-21-46,55.02,54.316760,1.231092,0.048682,500,0.060400,0.039443,0.045514,0.048497
ApoA1,c5.large-16x,21-06-2020-11-26-54,55.04,54.322875,1.233887,0.048626,500,0.060161,0.039282,0.045195,0.048546
ApoA1,c5.large-16x,21-06-2020-11-28-42,55.09,54.372521,1.225586,0.048853,500,0.059463,0.039075,0.045584,0.048839
STMV,c5.large-2x,19-06-2020-16-49-36,1813.60,1812.923185,0.030697,3.517836,500,7.809055,2.808510,3.176493,3.407356
STMV,c5.large-2x,19-06-2020-13-26-11,1806.14,1805.496289,0.030742,3.503270,500,7.777566,2.797236,3.139682,3.374929
STMV,c5.large-2x,19-06-2020-14-14-39,1841.52,1840.867670,0.030288,3.573475,500,8.086141,3.217916,3.322421,3.501952
STMV,c5.large-4x,19-06-2020-11-42-28,943.42,942.777034,0.055317,1.786695,500,3.855415,1.437932,1.579944,1.752277
STMV,c5.large-4x,19-06-2020-11-15-48,936.04,935.391975,0.055573,1.772270,500,3.804244,1.420857,1.568362,1.731729
STMV,c5.large-4x,19-06-2020-17-58-39,894.83,894.210184,0.058048,1.690282,500,3.697698,1.346203,1.498658,1.65594
STMV,c5.large-8x,18-06-2020-18-53-35,479.37,478.698539,0.108732,0.863486,500,1.811989,0.685266,0.775403,0.832254
STMV,c5.large-8x,21-06-2020-10-44-24,498.90,498.219670,0.107075,0.900044,500,1.830320,0.718739,0.810637,0.868444
STMV,c5.large-8x,18-06-2020-18-36-18,479.80,479.138612,0.108606,0.864378,500,1.835220,0.692251,0.766906,0.829251
ATPase,c5.large-2x,19-06-2020-14-02-58,583.14,582.526380,0.081572,1.077164,500,2.018869,0.893395,0.985209,1.062058
ATPase,c5.large-2x,19-06-2020-16-37-55,590.95,590.312835,0.079641,1.093516,500,2.053262,0.924783,1.018083,1.090154
ATPase,c5.large-2x,19-06-2020-13-15-26,580.48,579.888351,0.081575,1.072285,500,2.018957,0.899037,0.98542,1.065503
ATPase,c5.large-4x,19-06-2020-11-36-15,316.66,316.049001,0.156190,0.546689,500,0.976217,0.455177,0.501149,0.53979
ATPase,c5.large-4x,19-06-2020-17-52-20,304.10,303.499694,0.161209,0.522713,500,0.945501,0.434550,0.480261,0.516025
ATPase,c5.large-4x,19-06-2020-11-09-28,316.06,315.439588,0.155894,0.545774,500,0.971757,0.453621,0.500829,0.540102
ATPase,c5.large-8x,21-06-2020-10-40-17,184.23,183.569293,0.300749,0.282237,500,0.462409,0.230395,0.258406,0.278279
ATPase,c5.large-8x,18-06-2020-18-49-29,178.72,178.062898,0.308455,0.272158,500,0.463385,0.220354,0.246246,0.266546
ATPase,c5.large-8x,18-06-2020-18-32-05,178.36,177.699740,0.315098,0.270231,500,0.466120,0.220451,0.244147,0.263684
